objectid,title,creator,creators_title,date,description,interviewee,interviewer,subject,location,latitude,longitude,publisher,contributing_institution,source,identifier,rights,rightsstatement,format_original,type,format,language,filename,display_template,object_location,image_small,image_thumb
sbw010,"Allen (Magruder) Ranger Station, Bitterroot National Forest","Flint, Holland",,1922,"Allen (Magruder) Ranger Station, Bitterroot National Forest, Flint, Holland, 1922",,,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),45.702148,-114.716774,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",R1EngrDiv Historical Facility Photo Files,R1EngrPics1b,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,Image;StillImage,image/jpeg,eng,sbw010.jpg,image,https://objects.lib.uidaho.edu/sbw/sbw010.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw010_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw010_th.jpg
sbw011,"Powell Ranger Station, Loading Pack String",Photographer Unknown,,1936,"Powell Ranger Station, Loading Pack String, Photographer Unknown, 1936",,,ranger station;pack string;horses;mules,Selway-Bitterroot Wilderness (Idaho and Mont.),46.509942,-114.712207,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",R1EngrDiv Historical Facility Photo Files,R1EngrPics15,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,Image;StillImage,image/jpeg,eng,sbw011.jpg,image,https://objects.lib.uidaho.edu/sbw/sbw011.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw011_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw011_th.jpg
sbw012,"Bear Creek Ranger Station, Selway National Forest","Wolfe, K., Forest Supervisor",,1929,"Bear Creek Ranger Station, Selway National Forest, Wolfe, K., Forest Supervisor, 1929",,,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.019257,-114.844408,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",R1EngrDiv Historical Facility Photo Files,R1EngrPics2a,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,Image;StillImage,image/jpeg,eng,sbw012.jpg,image,https://objects.lib.uidaho.edu/sbw/sbw012.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw012_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw012_th.jpg
sbw013,"Bear Creek Ranger Station, Selway National Forest","Wolfe, K., Forest Supervisor",,1929,"Bear Creek Ranger Station, Selway National Forest, Wolfe, K., Forest Supervisor, 1929",,,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.019257,-114.844408,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",R1EngrDiv Historical Facility Photo Files,R1EngrPics2b,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,Image;StillImage,image/jpeg,eng,sbw013.jpg,image,https://objects.lib.uidaho.edu/sbw/sbw013.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw013_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw013_th.jpg
sbw014,"Bear Creek Ranger Station, Selway National Forest",Photographer Unknown,,1936,"Bear Creek Ranger Station, Selway National Forest, Photographer Unknown, 1936",,,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.019257,-114.844408,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",R1EngrDiv Historical Facility Photo Files,R1EngrPics3,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,Image;StillImage,image/jpeg,eng,sbw014.jpg,image,https://objects.lib.uidaho.edu/sbw/sbw014.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw014_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw014_th.jpg
sbw015,"Bear Creek Ranger Station, Selway National Forest","Jefferson, F. J.",,1925,"Bear Creek Ranger Station, Selway National Forest, Jefferson, F. J., 1925",,,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.019257,-114.844408,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",R1EngrDiv Historical Facility Photo Files,R1EngrPics4,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,Image;StillImage,image/jpeg,eng,sbw015.jpg,image,https://objects.lib.uidaho.edu/sbw/sbw015.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw015_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw015_th.jpg
sbw016,Paradise Guard Station,"Adams, A.C.",,1928,"Paradise Guard Station, Adams, A.C., 1928",,,guard station,Selway-Bitterroot Wilderness (Idaho and Mont.),45.860608,-114.743629,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",R1EngrDiv Historical Facility Photo Files,R1EngrPics5,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,Image;StillImage,image/jpeg,eng,sbw016.jpg,image,https://objects.lib.uidaho.edu/sbw/sbw016.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw016_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw016_th.jpg
sbw017,Elk Summit Ranger Station,"Bell, William J.",,1929,"Elk Summit Ranger Station, Bell, William J., 1929",,,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.327017,-114.648228,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",R1EngrDiv Historical Facility Photo Files,R1EngrPics6b,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,Image;StillImage,image/jpeg,eng,sbw017.jpg,image,https://objects.lib.uidaho.edu/sbw/sbw017.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw017_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw017_th.jpg
sbw018,Elk Summit Ranger Station,"Bell, William J.",,1929,"Elk Summit Ranger Station, Bell, William J., 1929",,,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.327017,-114.648228,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",R1EngrDiv Historical Facility Photo Files,R1EngrPics6a,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,Image;StillImage,image/jpeg,eng,sbw018.jpg,image,https://objects.lib.uidaho.edu/sbw/sbw018.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw018_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw018_th.jpg
sbw019,"Burnt Knob Lookout, Nez Perce National Forest",Photographer Unknown,,1938,"Burnt Knob Lookout, Nez Perce National Forest, Photographer Unknown, Ca. 1938",,,lookout;fire lookout,Selway-Bitterroot Wilderness (Idaho and Mont.),45.702463,-114.991508,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",unknown,R1EngrPics7,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,Image;StillImage,image/jpeg,eng,sbw019.jpg,image,https://objects.lib.uidaho.edu/sbw/sbw019.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw019_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw019_th.jpg
sbw020,"Meadow Creek Ranger Station, Selway National Forest","Jefferson, F. J.",,1925,"Meadow Creek Ranger Station, Selway National Forest, Jefferson, F. J., 1925",,,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),45.941362,-115.267897,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",R1EngrDiv Historical Facility Photo Files,R1EngrPics8a,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,Image;StillImage,image/jpeg,eng,sbw020.jpg,image,https://objects.lib.uidaho.edu/sbw/sbw020.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw020_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw020_th.jpg
sbw021,Powell Ranger Station and Pack String,"Fickes, C. P.",,1931,"Powell Ranger Station and Pack String, Fickes, C. P., 1931",,,ranger station;pack string;horses;mules,Selway-Bitterroot Wilderness (Idaho and Mont.),46.509942,-114.712207,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",R1EngrDiv Historical Facility Photo Files,R1EngrPics13a,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,Image;StillImage,image/jpeg,eng,sbw021.jpg,image,https://objects.lib.uidaho.edu/sbw/sbw021.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw021_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw021_th.jpg
sbw022,Powell Ranger Station,"Swan, K. D.",,1933,"Powell Ranger Station, Swan, K. D., 1933",,,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.509942,-114.712207,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",R1EngrDiv Historical Facility Photo Files,R1EngrPics16,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,Image;StillImage,image/jpeg,eng,sbw022.jpg,image,https://objects.lib.uidaho.edu/sbw/sbw022.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw022_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw022_th.jpg
sbw023,Powell Ranger Station and Pack String,"Fickes, C. P.",,1931,"Powell Ranger Station and Pack String, Fickes, C. P., 1931",,,ranger station;pack string;horses;mules,Selway-Bitterroot Wilderness (Idaho and Mont.),46.509942,-114.712207,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",R1EngrDiv Historical Facility Photo Files,R1EngrPics13b,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,Image;StillImage,image/jpeg,eng,sbw023.jpg,image,https://objects.lib.uidaho.edu/sbw/sbw023.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw023_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw023_th.jpg
sbw024,Office Building at Powell Ranger Station,Photographer Unknown,,1954-09-13,"Office Building at Powell Ranger Station, Photographer Unknown, 1954-09-13",,,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.509942,-114.712207,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",unknown,R1EngrPics14a,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,Image;StillImage,image/jpeg,eng,sbw024.jpg,image,https://objects.lib.uidaho.edu/sbw/sbw024.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw024_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw024_th.jpg
sbw025,Dwelling at Powell Ranger Station,"Swan, K. D.",,1932,"Dwelling at Powell Ranger Station, Swan, K. D., 1932",,,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.509942,-114.712207,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",R1EngrDiv Historical Facility Photo Files,R1EngrPics17,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,Image;StillImage,image/jpeg,eng,sbw025.jpg,image,https://objects.lib.uidaho.edu/sbw/sbw025.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw025_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw025_th.jpg
sbw026,"Powell Ranger Station: L-R Cookhouse, Bunkhouse, Warehouse",Photographer Unknown,,1936,"Powell Ranger Station: L-R Cookhouse, Bunkhouse, Warehouse, Photographer Unknown, 1936",,,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.509942,-114.712207,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",R1EngrDiv Historical Facility Photo Files,R1EngrPics18,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,Image;StillImage,image/jpeg,eng,sbw026.jpg,image,https://objects.lib.uidaho.edu/sbw/sbw026.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw026_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw026_th.jpg
sbw027,"O'Hara Ranger Station, Nezperce National Forest","Wolfe, K., Supervisor, Selway National Forest",,1929,"O'Hara Ranger Station, Nezperce National Forest, Wolfe, K., Supervisor, Selway National Forest, 1929",,,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.093829,-115.523672,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",R1EngrDiv Historical Facility Photo Files,R1EngrPics19a,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,Image;StillImage,image/jpeg,eng,sbw027.jpg,image,https://objects.lib.uidaho.edu/sbw/sbw027.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw027_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw027_th.jpg
sbw028,O'Hara Ranger Station,"Beatty, D. L.",,1920-08-01,"O'Hara Ranger Station, Beatty, D. L. , 1920-08-01",,,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.093829,-115.523672,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",R1EngrDiv Historical Facility Photo Files,R1EngrPics19b,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,Image;StillImage,image/jpeg,eng,sbw028.jpg,image,https://objects.lib.uidaho.edu/sbw/sbw028.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw028_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw028_th.jpg
sbw029,O'Hara Ranger Station Commissary Building,"Wolfe, K.",,1929,"O'Hara Ranger Station Commissary Building, Wolfe, K., 1929",,,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.093829,-115.523672,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",R1EngrDiv Historical Facility Photo Files,R1EngrPics20,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,Image;StillImage,image/jpeg,eng,sbw029.jpg,image,https://objects.lib.uidaho.edu/sbw/sbw029.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw029_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw029_th.jpg
sbw030,"O'Hara Ranger Station, Nez Perce National Forest",Photographer Unknown,,1981,"O'Hara Ranger Station, Nez Perce National Forest, Photographer Unknown, 1981",,,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.093829,-115.523672,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",R1EngrDiv Historical Facility Photo Files,R1EngrPics21a,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,Image;StillImage,image/jpeg,eng,sbw030.jpg,image,https://objects.lib.uidaho.edu/sbw/sbw030.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw030_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw030_th.jpg
sbw031,"Selway Crags as seen from the South, Selway National Forest","Flint, Howard",,1922-07-27,"Selway Crags as seen from the South, Selway National Forest, Flint, Howard, 1922-07-27",,,mountain,Selway-Bitterroot Wilderness (Idaho and Mont.),46.120905,-115.18394,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",USFS Region 1 Northern Region Archives,99-6258b,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,Image;StillImage,image/jpeg,eng,sbw031.jpg,image,https://objects.lib.uidaho.edu/sbw/sbw031.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw031_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw031_th.jpg
sbw032,"Crags and Clouds, Selway National Forest, Highline Trail","Flint, Howard",,1922,"Crags and Clouds, Selway National Forest, Highline Trail, Flint, Howard, 1922",,,mountain,Selway-Bitterroot Wilderness (Idaho and Mont.),46.153735,-115.214238,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",USFS Region 1 Northern Region Archives,99-6258a,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,Image;StillImage,image/jpeg,eng,sbw032.jpg,image,https://objects.lib.uidaho.edu/sbw/sbw032.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw032_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw032_th.jpg
sbw033,"Big Creek Lakes, Bitterroot National Forest","Swan, K. D.",,1923,"Big Creek Lakes, Bitterroot National Forest, Swan, K. D., 1923",,,lake,Selway-Bitterroot Wilderness (Idaho and Mont.),46.499751,-114.339795,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",USFS Region 1 Northern Region Archives,99-7068,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,Image;StillImage,image/jpeg,eng,sbw033.jpg,image,https://objects.lib.uidaho.edu/sbw/sbw033.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw033_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw033_th.jpg
sbw034,O'Hara Ranger Station,"Childs, Don",,1924,"O'Hara Ranger Station, Childs, Don, 1924",,,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.093829,-115.523672,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",USFS Region 1 Northern Region Archives,99-3287,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,Image;StillImage,image/jpeg,eng,sbw034.jpg,image,https://objects.lib.uidaho.edu/sbw/sbw034.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw034_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw034_th.jpg
sbw035,"Pack String at O'Hara Ranger Station,  O'Hara Ranger Station","Swan, K. D.",,1925,"Pack String at O'Hara Ranger Station,  O'Hara Ranger Station , Swan, K. D., 1925",,,ranger station;pack string,Selway-Bitterroot Wilderness (Idaho and Mont.),46.093829,-115.523672,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",USFS Region 1 Northern Region Archives,99-4958,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,Image;StillImage,image/jpeg,eng,sbw035.jpg,image,https://objects.lib.uidaho.edu/sbw/sbw035.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw035_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw035_th.jpg
sbw036,"Improvements, administrative structures, Idaho, Nezperce National Forest, Red River Ranger Station","Swan, K. D.",,1938-08-01,"Improvements, administrative structures, Idaho, Nezperce National Forest, Red River Ranger Station , Swan, K. D., 1938-08-01",,,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),,,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",National Archives Records Administration College Park,FS-GP158,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,Image;StillImage,image/jpeg,eng,sbw036.jpg,image,https://objects.lib.uidaho.edu/sbw/sbw036.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw036_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw036_th.jpg
sbw037,"Red River Hot Springs, Nez Perce National Forest","Fickes, C. P.",,1922-08-01,"Red River Hot Springs, Nez Perce National Forest, Fickes, C. P., 1922-08-01",,,hot springs,Selway-Bitterroot Wilderness (Idaho and Mont.),45.793143,-115.199947,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",USFS Region 1 Northern Region Archives,99-2048,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,Image;StillImage,image/jpeg,eng,sbw037.jpg,image,https://objects.lib.uidaho.edu/sbw/sbw037.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw037_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw037_th.jpg
