objectid,parentid,title,photographer,date,date-is-approximate,description,item_information,postcard_type,subject,location,state,latitude,longitude,publisher,publisher_location,identifier,rights,source,rightsstatement,original format,type,format,language,filename,display_template,object_location,image_small,image_thumb
nwpostcards10,nwpostcards9,,,,,,,,,,,,,,,postcard_105,,,,,,image/jpeg,,postcard_105.jpg,image,https://objects.lib.uidaho.edu/postcards/postcard_105.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_105_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_105_th.jpg
nwpostcards11,nwpostcards9,,,,,,,,,,,,,,,postcard_105b,,,,,,image/jpeg,,postcard_105b.jpg,image,https://objects.lib.uidaho.edu/postcards/postcard_105b.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_105b_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_105b_th.jpg
nwpostcards12,,Old Vienna Mine,,1970,yes,"Postcard is a photograph from the rubble remains of the mining town of Vienna in the Sawtooth National Forest, Idaho. | The Old Vienna Mine (The Place to go is Idaho) This famous mining area was opened in 1879. By 1883 a twenty stamp mill was turning out between forty and fifty thousand dollars worth of ore per month. It continued this production until 1885 when a Lawsuit closed the property. In 1917 the Old Vienna Co. reacquired control over the Mines, built a new Mill, and camp, but to no avail. The Mill never ran and the area, which had produced over five hundred thousand dollars worth of Silver, sank into ruin.",,photographic postcards,ghost towns; mining towns; buildings; mountains; trees; photogaphic postcards,"Sawtooth National Forest, Idaho; Smiley",Idaho,43.8165704,-114.8300695,H.W. Steward,"Boise, ID",postcard_106,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.5 x 5.5, Color",Image;StillImage,image/jpeg,eng,,multiple,https://objects.lib.uidaho.edu/postcards/postcard_106.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_106_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_106_th.jpg
nwpostcards13,nwpostcards12,,,,,,,,,,,,,,,postcard_106,,,,,,image/jpeg,,postcard_106.jpg,image,https://objects.lib.uidaho.edu/postcards/postcard_106.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_106_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_106_th.jpg
nwpostcards14,nwpostcards12,,,,,,,,,,,,,,,postcard_106b,,,,,,image/jpeg,,postcard_106b.jpg,image,https://objects.lib.uidaho.edu/postcards/postcard_106b.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_106b_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_106b_th.jpg
nwpostcards15,,"Boise, Idaho",H.D. Anderson,1970,yes,"Postcard is a photograph of the Ada County Courthouse in Boise, Idaho.  | Ada County Courthouse, Boise, Idaho. Ada County is the most populous county in the State of Idaho. The trading center of southwest Idaho it is rich in dairying and agriculture.",,photographic postcards,public buildings; county courthouses; trees; photographic postcards,"Boise, Idaho",Idaho,43.61022,-116.197898,Northwest Curio & Postcard Co.,"Boise, ID",postcard_075,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.5 x 5.5, Color",Image;StillImage,image/jpeg,eng,,multiple,https://objects.lib.uidaho.edu/postcards/postcard_075.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_075_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_075_th.jpg
nwpostcards16,nwpostcards15,,,,,,,,,,,,,,,postcard_075,,,,,,image/jpeg,,postcard_075.jpg,image,https://objects.lib.uidaho.edu/postcards/postcard_075.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_075_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_075_th.jpg
nwpostcards17,nwpostcards15,,,,,,,,,,,,,,,postcard_075b,,,,,,image/jpeg,,postcard_075b.jpg,image,https://objects.lib.uidaho.edu/postcards/postcard_075b.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_075b_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_075b_th.jpg
nwpostcards18,,"Sawtooth Mts., Idaho",Cal Harbert,1970,yes,"Postcard of the Sawtooth Mountains in Idaho.  | ""Rugged Sawtooth Peaks"" in the primitive area of the Sawtooth National Forest.",,photographic postcards,mountains; snow; clouds; photographic postcards,"Sawtooth National Forest, Idaho",Idaho,44.156593,-114.958992,Northwest Curio & Postcard Co.,"Boise, ID",postcard_107,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.5 x 5.5, Color",Image;StillImage,image/jpeg,eng,,multiple,https://objects.lib.uidaho.edu/postcards/postcard_107.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_107_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_107_th.jpg
nwpostcards19,nwpostcards18,,,,,,,,,,,,,,,postcard_107,,,,,,image/jpeg,,postcard_107.jpg,image,https://objects.lib.uidaho.edu/postcards/postcard_107.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_107_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_107_th.jpg
nwpostcards20,nwpostcards18,,,,,,,,,,,,,,,postcard_107b,,,,,,image/jpeg,,postcard_107b.jpg,image,https://objects.lib.uidaho.edu/postcards/postcard_107b.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_107b_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_107b_th.jpg
nwpostcards21,,Payette River north of Smith's Ferry,Jack Taylor,1970,yes,"Postcard of a bridge over the Payette River north of Smith's Ferry on Highway 55 in Idaho.  |  This graceful span crosses the Payette River north of Smith's Ferry, Idaho, on picturesque State Highway 15. This scenic road winds its way through national forests to McCall, a vacation mecca.",,photographic postcards,highways; bridges; trees; rivers; photographic postcards,"Smith's Ferry, Idaho; Payette River",Idaho,44.324508,-116.060215,Northwest Curio & Postcard Co.,"Boise, ID",postcard_108,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.5 x 5.4375, Color",Image;StillImage,image/jpeg,eng,,multiple,https://objects.lib.uidaho.edu/postcards/postcard_108.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_108_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_108_th.jpg
nwpostcards22,nwpostcards21,,,,,,,,,,,,,,,postcard_108,,,,,,image/jpeg,,postcard_108.jpg,image,https://objects.lib.uidaho.edu/postcards/postcard_108.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_108_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_108_th.jpg
nwpostcards23,nwpostcards21,,,,,,,,,,,,,,,postcard_108b,,,,,,image/jpeg,,postcard_108b.jpg,image,https://objects.lib.uidaho.edu/postcards/postcard_108b.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_108b_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_108b_th.jpg
nwpostcards24,,Perrine Memorial Bridge,Ken Stone,1980,yes,"Postcard of the Perrine Memorial Bridge near Twin Falls, Idaho. | Perrine Memorial Bridge. The Perrine Memorial Bridge on Highway 93 is one of the highest in the United States. This bridge is 1400 feet long and is 476 feet high, crossing the Snake River 3 miles north of Twin Falls.",,photographic postcards,truss bridges; arch bridges; bridges; rivers; canyons; photographic postcards,"Perrine Memorial Bridge; Twin Falls, Idaho",Idaho,42.601715,-114.460205,Northwest Curio & Postcard Co.,"Boise, ID",postcard_109,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.4375 x 5.5, Color",Image;StillImage,image/jpeg,eng,,multiple,https://objects.lib.uidaho.edu/postcards/postcard_109.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_109_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_109_th.jpg
nwpostcards25,nwpostcards24,,,,,,,,,,,,,,,postcard_109,,,,,,image/jpeg,,postcard_109.jpg,image,https://objects.lib.uidaho.edu/postcards/postcard_109.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_109_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_109_th.jpg
nwpostcards26,nwpostcards24,,,,,,,,,,,,,,,postcard_109b,,,,,,image/jpeg,,postcard_109b.jpg,image,https://objects.lib.uidaho.edu/postcards/postcard_109b.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_109b_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_109b_th.jpg
nwpostcards27,,Upper Mesa Falls,Bill Empie,1970,yes,"Postcard of Upper Mesa Falls near Ashton, Idaho.  | Upper Mesa Falls. This 106' drop makes one of the largest falls of the mighty Snake River, which flows through Idaho before joining he Columbia River.",,photographic postcards,waterfalls (natural bodies of water); trees; rivers; rocks; photographic postcards,"Upper Mesa Falls; Ashton, Idaho",Idaho,44.186066,-111.32805,Northwest Curio & Postcard Co.,"Boise, ID",postcard_110,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.5 x 5.5, Color",Image;StillImage,image/jpeg,eng,,multiple,https://objects.lib.uidaho.edu/postcards/postcard_110.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_110_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_110_th.jpg
nwpostcards28,nwpostcards27,,,,,,,,,,,,,,,postcard_110,,,,,,image/jpeg,,postcard_110.jpg,image,https://objects.lib.uidaho.edu/postcards/postcard_110.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_110_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_110_th.jpg
nwpostcards29,nwpostcards27,,,,,,,,,,,,,,,postcard_110b,,,,,,image/jpeg,,postcard_110b.jpg,image,https://objects.lib.uidaho.edu/postcards/postcard_110b.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_110b_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_110b_th.jpg
nwpostcards30,,Hell's Canyon,Harold Peters,1960,yes,"Postcard is a scene of Hell's Canyon showing the Snake River.  | Hells Canyon. This unusual Aerial of Hells Canyon of the Snake River highlights 7,000 foot canyon walls of America's deepest gorge.",,photographic postcards,rivers; canyons; mountains; photographic postcards,Hells Canyon; Snake River,Idaho,45.428937,-116.581793,Northwest Curio & Postcard Co.,"Boise, ID",postcard_111,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.5 x 5.5, Color",Image;StillImage,image/jpeg,eng,,multiple,https://objects.lib.uidaho.edu/postcards/postcard_111.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_111_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_111_th.jpg
nwpostcards31,nwpostcards30,,,,,,,,,,,,,,,postcard_111,,,,,,image/jpeg,,postcard_111.jpg,image,https://objects.lib.uidaho.edu/postcards/postcard_111.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_111_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_111_th.jpg
nwpostcards32,nwpostcards30,,,,,,,,,,,,,,,postcard_111b,,,,,,image/jpeg,,postcard_111b.jpg,image,https://objects.lib.uidaho.edu/postcards/postcard_111b.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_111b_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_111b_th.jpg
nwpostcards33,,"Steunenberg Statue, Boise, Idaho",,1970,yes,"Postcard is a photo of the Steunenberg Statue facing the Idaho State Capitol building in Boise, Idaho.  |  Steunenberg Statue, Boise, Idaho. The statue stands across Jefferson Street facing the main steps to the Idaho State Capitol. The Commission was organized in 1907 with W.A. Coughanour as president to erect the statue, it was dedicated in 1927. Frank Steunenberg served as Governor of Idaho from 1897 to 1900. He was assassinated in 1905.",,photographic postcards,statues; buildings; trees; capitols; photogaphic postcards,"Boise, Idaho",Idaho,43.617153,-116.200194,H.W. Steward,"Boise, ID",postcard_076,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",http://rightsstatements.org/vocab/InC-EDU/1.0/,"5.4375 x 3.5, Color",Image;StillImage,image/jpeg,eng,,multiple,https://objects.lib.uidaho.edu/postcards/postcard_076.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_076_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_076_th.jpg
nwpostcards34,nwpostcards33,,,,,,,,,,,,,,,postcard_076,,,,,,image/jpeg,,postcard_076.jpg,image,https://objects.lib.uidaho.edu/postcards/postcard_076.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_076_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_076_th.jpg
nwpostcards35,nwpostcards33,,,,,,,,,,,,,,,postcard_076b,,,,,,image/jpeg,,postcard_076b.jpg,image,https://objects.lib.uidaho.edu/postcards/postcard_076b.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_076b_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_076b_th.jpg
nwpostcards36,,12 trucks - 12 giant fir logs - Western Washington,Ellis,1930,yes,Postcard of log trucks carrying large fir logs through a western Washington town. | 12 trucks - 12 giant fir logs - Western Washington.,,photographic postcards,photographic postcards; trucks; log (wood),Western Washington; Washington,Washington,46.996615,-123.408051,E.C. Kropp Co.,"Milwaukee, WI",postcard_011,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.5 x 5.375, Black and white",Image;StillImage,image/jpeg,eng,,multiple,https://objects.lib.uidaho.edu/postcards/postcard_011.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_011_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_011_th.jpg
nwpostcards37,nwpostcards36,,,,,,,,,,,,,,,postcard_011,,,,,,image/jpeg,,postcard_011.jpg,image,https://objects.lib.uidaho.edu/postcards/postcard_011.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_011_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_011_th.jpg
nwpostcards38,nwpostcards36,,,,,,,,,,,,,,,postcard_011b,,,,,,image/jpeg,,postcard_011b.jpg,image,https://objects.lib.uidaho.edu/postcards/postcard_011b.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_011b_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_011b_th.jpg
nwpostcards39,,Old Water Wheel,,1970,yes,"Postcard is a photograph of an old water wheel in the Warm Springs neighborhood of Boise, Idaho. | The Old Water Wheel, Boise, Idaho. Irrigation has always played a vital role in the life of Idaho. Along the Warm Springs Avenue of Boise many of the fine older homes of the city used the water wheel to irrigate the pastures for their horses. Here is one of the old wheels still working and in fine preservation.",,photographic postcards,waterwheels; trees; irrigation systems; photographic postcards,"Boise, Idaho",Idaho,43.607803,-116.184355,H.W. Steward,"Boise, ID",postcard_077,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",http://rightsstatements.org/vocab/InC-EDU/1.0/,"5.5 x 3.5, Color",Image;StillImage,image/jpeg,eng,,multiple,https://objects.lib.uidaho.edu/postcards/postcard_077.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_077_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_077_th.jpg
nwpostcards40,nwpostcards39,,,,,,,,,,,,,,,postcard_077,,,,,,image/jpeg,,postcard_077.jpg,image,https://objects.lib.uidaho.edu/postcards/postcard_077.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_077_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_077_th.jpg
nwpostcards41,nwpostcards39,,,,,,,,,,,,,,,postcard_077b,,,,,,image/jpeg,,postcard_077b.jpg,image,https://objects.lib.uidaho.edu/postcards/postcard_077b.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_077b_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_077b_th.jpg
nwpostcards42,,Boise Gallery of Art,,1970,yes,"Postcard is a photograph of the Boise Gallery of Art, now named the Boise Art Museum, in Boise, Idaho.  |  Boise Gallery of At (The place to go is Idaho) Located in Julia Davis Park, off Capitol Blvd., Boise, Idaho. Constructed in 1937 as a W.P.A. project. The Boise Gallery of Art is owned by the City of Boise, and operated by the Boise Art Association, Inc.",,photographic postcards,art museums (buildings); buildings; trees; shrubs; photographic postcards,"Boise, Idaho; Boise, Idaho Art Museum; Julia Davis Park",Idaho,43.609931,-116.206846,H.W. Steward,"Boise, ID",postcard_078,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.5 x 5.5, Color",Image;StillImage,image/jpeg,eng,,multiple,https://objects.lib.uidaho.edu/postcards/postcard_078.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_078_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_078_th.jpg
nwpostcards43,nwpostcards42,,,,,,,,,,,,,,,postcard_078,,,,,,image/jpeg,,postcard_078.jpg,image,https://objects.lib.uidaho.edu/postcards/postcard_078.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_078_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_078_th.jpg
nwpostcards44,nwpostcards42,,,,,,,,,,,,,,,postcard_078b,,,,,,image/jpeg,,postcard_078b.jpg,image,https://objects.lib.uidaho.edu/postcards/postcard_078b.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_078b_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_078b_th.jpg
